conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1942921127132819502,Thu Jul 10 06:53:47 +0000 2025,0,@pelti_nih Ijazah Palsu. Yang Asli hanya Tipu Nipu,1943201970925506830,,pelti_nih,in,,0,0,0,https://x.com/undefined/status/1943201970925506830,808582626688712704,
1942534615610351713,Thu Jul 10 06:53:43 +0000 2025,4,@17Yopyop31734 @MJOEJOEF klo di biyarkan banyak nanti orang2 bodoh yang make ijazah palsu . banyak uang tapi minim pengengetahuan tentang kepemimpinan,1943201952265048467,,17Yopyop31734,in,,0,3,0,https://x.com/undefined/status/1943201952265048467,1754964480843456512,
1942835831783538694,Thu Jul 10 06:53:23 +0000 2025,3,@arifbalikpapan1 Gak bisa hadir kesimpulannya karena ijazah pak @jokowi PALSU makannya Malu hadir... Jika punya ASLI dia gak punya beban. Pasti hadir.. ini logika sederhana... Masuk akal.,1943201871633748272,,arifbalikpapan1,in,,0,0,0,https://x.com/undefined/status/1943201871633748272,1743698944683884544,
1943160069581164787,Thu Jul 10 06:53:06 +0000 2025,7,@PoltakSitinja18 @DokterTifa Bukannya lu yg brengsek...?! Orang cari kebenaran kok di di tentang. Klo mmng ijazah mulyono benar2 asli dan ada ...kan tinggal jemput aja mereka2 yg bikin fitnah. Masukin penjara dan hukum seberat2nya. Beres kan... Trs knp lu panas dingin... otak lu sakit ya...?!,1943201798770081955,,PoltakSitinja18,in,,0,0,0,https://x.com/undefined/status/1943201798770081955,1825789634032676864,
1942995263033086114,Thu Jul 10 06:52:51 +0000 2025,0,@Opposisi6890 tampak jelas dugaan rekayasa ijazah itu memang ada,1943201734605819935,,Opposisi6890,in,,0,0,0,https://x.com/undefined/status/1943201734605819935,3165030342,
1943201536961884251,Thu Jul 10 06:52:04 +0000 2025,3,Hadehhh...kenapa musti ruweeet2? Bapak polisi bapak pengacara bapak Jokowi.... tinggal kasih tunjuk ini loh ijazah ku coba diperiksa asli apa g? dah urusan beres atau g ada yg bisa ditunjukkan?goib? musti nanya ke setan dulu? angeeel,1943201536961884251,,,in,,0,3,0,https://x.com/undefined/status/1943201536961884251,3154317998,
1943201507081584729,Thu Jul 10 06:51:56 +0000 2025,0,Jangan menyerah pada kepalsuan bu dokter. Sepanjang ijazah itu tidak di publish didepan umum maka seluruh rakyat yakin ijazah itu palsu atau aspal asli tapi palsu.,1943201507081584729,,,in,,0,0,0,https://x.com/undefined/status/1943201507081584729,1687093503694946304,
1943201346032931293,Thu Jul 10 06:51:18 +0000 2025,0,Ijazah Tanpa Cap Tiga Jari Sebuah Kemajuan atau Rawan Pemalsuan? https://t.co/vKKQub6EbC Ijazah palsu Ijazah digital Ijazah elektronik E-ijazah Integritas Digitalisasi pendidikan Blockchain Tanda tangan siswa Kelulusan siswa Penghargaan hasil belajar Jaminan keabsahan,1943201346032931293,,,in,,0,0,0,https://x.com/undefined/status/1943201346032931293,1512092267955167234,
1942946844218139095,Thu Jul 10 06:51:09 +0000 2025,0,@KompasTV Pd hal sederhana sekali klu @jokowi ingin mempermalukan @KRMT_RoySuryo cs tinggal tunjukan tu ijazah asli... Noh ijazah gw mau kalian forensik ke planet mars sekalian jg gpp.. Itu klu gw yg jd alumni @UGMYogyakarta ...,1943201308372275255,,KompasTV,in,,0,0,0,https://x.com/undefined/status/1943201308372275255,97328251,
1943201239090561361,Thu Jul 10 06:50:52 +0000 2025,0,Kuasa Hukum Jokowi Kukuh Tolak Tunjukan Ijazah Asli Yusuf Dumdum: Masih Belum Selesai Juga Kasus Ini https://t.co/jliqPYCJJX,1943201239090561361,,,in,,0,0,0,https://x.com/undefined/status/1943201239090561361,89877164,
1943161837723488733,Thu Jul 10 06:50:44 +0000 2025,6,@keuangannews_id @keuangan PENGECUT...... Woi para piaran Jokowi. Lihat pengacara Bos Luh bikin Gaduh karna Pengecut Tunjukan Ijazah Aslinya. Udah gak Hadir masih aja Luh bela. 1 kata buat para Ternakan Joko BOOL BODOH dan TOLOL,1943201203988451595,,keuangannews_id,in,,0,0,0,https://x.com/undefined/status/1943201203988451595,2164732507,
1943201161160593495,Thu Jul 10 06:50:34 +0000 2025,0,Sakit atau tidak yg jelas dia akan lari dari pengadilan ijazah dan mega korupsi yg menyebut namanya.,1943201161160593495,,,in,,0,0,0,https://x.com/undefined/status/1943201161160593495,1542540315835260929,
1943200931065270681,Thu Jul 10 06:49:39 +0000 2025,0,Ijazah tinggi peluang makin sempit. Lulusan S1 ikut antre daftar PPSU realita miris dunia pekerjaan. https://t.co/zF9dHExPXY,1943200931065270681,,,in,,0,0,0,https://x.com/undefined/status/1943200931065270681,1912027937676853249,
