tweet_id_str,created_at,processed_text,mentions,jumlah_mention,id
1943215039684764117,Thu Jul 10 07:45:43 +0000 2025,iya rismon kawan uji forensik dasar postingan kader psi pedenya bilang ijazah asli nyata palsu asli jokowi yakin bohong hingga detik pernah mau lihat bahkan adil,"@HariSetiyono9,@DianSandiU",2,1943215039684764117
1943215069598536129,Thu Jul 10 07:45:50 +0000 2025,kunci semua kasus ijazah jokowi jujur aneh memang lihat tingkah laku jokowi kondisi sakit gatal berani tampil masa tunjuk ijazah berani banyak dalih ancam,@DokterTifa,1,1943215069598536129
1943215389682610486,Thu Jul 10 07:47:06 +0000 2025,ijazah adzab,@Opposisi6890,1,1943215389682610486
1943215407118286857,Thu Jul 10 07:47:10 +0000 2025,dear benar hasil gelar perkara khusus bareskrim polri nyata jokowi guna ijazah palsu terima kasih,"@Harakiri_14,@grok,@grok",3,1943215407118286857
1943215501930545476,Thu Jul 10 07:47:33 +0000 2025,praturan mngikat mlarang prusahaan tahan ijazah adapun surat edar kemnaker brsifat himbauan kepala daerah punya kuat hukum hrsny stidakny kemnaker terbit permenaker trkait larang tahan ijazah bahkan terbit se,"@oerybu_,@lopmyselff,@worksfess",3,1943215501930545476
1943215934048735547,Thu Jul 10 07:49:16 +0000 2025,now watching bukti ijazah asli ijazah sama sulit atur uang kalau uang,@tvOneNews,1,1943215934048735547
1943216331077357979,Thu Jul 10 07:50:51 +0000 2025,sangkin fokus ikutin kasus jadi lewat betapa carut marut program mbg tambang ilegal papua sini lihat siapa untung siapa biaya main drama kasus ijazah palsu,@bangherwin,1,1943216331077357979
1943216609054855605,Thu Jul 10 07:51:57 +0000 2025,tuntas selesai lihat wujud ijazah asli,@anfarizzat,1,1943216609054855605
1943216726788968825,Thu Jul 10 07:52:25 +0000 2025,lama ijazah asli tunjuk lama bulan tetap kitar bumi,"@yaniarsim,@jokowi",2,1943216726788968825
1943216745818526193,Thu Jul 10 07:52:30 +0000 2025,hah kok beasiswa nahan ijazah,@mieladyy,1,1943216745818526193
1943216770162266167,Thu Jul 10 07:52:35 +0000 2025,kalau memang ijazah asli sulit perkara bukan perkara sulit,"@keuangannews_id,@keuangan",2,1943216770162266167
1943216849950552140,Thu Jul 10 07:52:54 +0000 2025,kalau ijazah asli pernah muncul kasus sebar isu bohong hasut buat gaduh tanya sopan sih,@OposisiCerdas,1,1943216849950552140
1943216881789472893,Thu Jul 10 07:53:02 +0000 2025,acara bodoh ijazah asli palsu mengadafaham,@tvOneNews,1,1943216881789472893
1943216967307137174,Thu Jul 10 07:53:22 +0000 2025,wahai tunjuk ijazah asli selesai perkara apa susah tunjuk izajah asli masyarakat semua tenang gaduh laku,@jokowi,1,1943216967307137174
1943216982985445553,Thu Jul 10 07:53:26 +0000 2025,banyakin teman banyakin koneksi der pintee kadang cukup pinter kalau banding teman dulu lulus kuliah hari kamis pegang ijazah hari senin kerja bahkan belum ditawarin kerja sayang ijazah keluar,@tanyakanrl,1,1943216982985445553
1943217273944277172,Thu Jul 10 07:54:35 +0000 2025,cerita masalah ijazah begini cerita masalah kronologi gelar perkara hasil nya begini dengar saksi siar berita lewat media apa lebih baik semua media televisi siar iklan,"@LexWu_13,@ListyoSigitP,@DivHumas_Polri",3,1943217273944277172
1943217534515449994,Thu Jul 10 07:55:38 +0000 2025,kalau ijazah asli kalian ragu tunjuk jokowi rupa bilang apa naik popularitas normal ijazah bagi personal branding apadaya punya muter alas,"@keuangannews_id,@keuangan",2,1943217534515449994
1943217537040179409,Thu Jul 10 07:55:38 +0000 2025,kayak kiamat bakal selesai masalah ijazah palaasu percaya kelak yaumil hisab semua bongkar,@RagilSemar,1,1943217537040179409
1943217683924742393,Thu Jul 10 07:56:13 +0000 2025,ijazah palaasu,@RagilSemar,1,1943217683924742393
1943218116315746379,Thu Jul 10 07:57:56 +0000 2025,kalau ijazah asli pernah dikeluarin pak tri terus prihatin,"@WeeNiDv,@andrisurya79,@abu_waras",3,1943218116315746379
1943218239691211241,Thu Jul 10 07:58:26 +0000 2025,acara psnyakit turun bsnya bikin gaduh kasus ijazah ijazah g bawa orgnya hadir gelar perkara khusus barekrim polri terus rakyat paksa suruh percaya sm acara oe hong liong alias mulkadas arti ijazah jokowi palsu fix,@AiraNtieReal,1,1943218239691211241
1943218415356772635,Thu Jul 10 07:59:08 +0000 2025,makin seru data alas dukung protes sebar mana iring robot buzzerp tenggelam hilang satu satu makin kuat praduga ijazah jkw palsu netizen langit peluang mahasiswa ugm segera akhir,@abu_waras,1,1943218415356772635
